wp,row,col,cum_km,slope_deg,elev_m,X,Y
0,422,226,0.000,0.51,-4978.0,-65176.0785,-77565.2697
1,427,226,0.100,7.33,-4979.0,-65176.0785,-77690.2697
2,432,223,0.225,9.64,-4989.0,-65251.0785,-77815.2697
3,437,218,0.366,5.91,-5003.0,-65376.0785,-77940.2697
4,442,217,0.475,11.31,-5021.0,-65401.0785,-78065.2697
5,447,217,0.608,11.40,-5042.0,-65401.0785,-78190.2697
6,452,217,0.708,14.05,-5068.0,-65401.0785,-78315.2697
7,457,216,0.833,16.90,-5098.0,-65426.0785,-78440.2697
8,460,212,0.949,16.27,-5131.0,-65526.0785,-78515.2697
9,461,207,1.057,17.71,-5164.0,-65651.0785,-78540.2697
10,466,206,1.166,18.62,-5191.0,-65676.0785,-78665.2697
11,471,201,1.307,11.10,-5232.0,-65801.0785,-78790.2697
12,476,203,1.440,5.37,-5247.0,-65751.0785,-78915.2697
13,479,208,1.565,5.58,-5260.0,-65626.0785,-78990.2697
14,479,213,1.665,4.52,-5265.0,-65501.0785,-78990.2697
15,480,218,1.773,5.71,-5274.0,-65376.0785,-79015.2697
16,480,223,1.873,2.26,-5279.0,-65251.0785,-79015.2697
17,480,228,1.973,3.58,-5285.0,-65126.0785,-79015.2697
18,481,233,2.082,6.57,-5296.0,-65001.0785,-79040.2697
19,477,238,2.215,5.46,-5306.0,-64876.0785,-78940.2697
20,472,243,2.356,2.73,-5317.0,-64751.0785,-78815.2697
21,469,248,2.481,7.88,-5327.0,-64626.0785,-78740.2697
22,468,253,2.589,6.73,-5336.0,-64501.0785,-78715.2697
23,467,258,2.698,3.24,-5346.0,-64376.0785,-78690.2697
24,462,259,2.806,6.73,-5351.0,-64351.0785,-78565.2697
25,457,264,2.947,4.08,-5367.0,-64226.0785,-78440.2697
26,452,269,3.089,3.65,-5379.0,-64101.0785,-78315.2697
27,449,274,3.214,6.73,-5386.0,-63976.0785,-78240.2697
28,444,278,3.347,6.78,-5397.0,-63876.0785,-78115.2697
29,439,281,3.472,5.20,-5405.0,-63801.0785,-77990.2697
30,434,283,3.588,10.70,-5419.0,-63751.0785,-77865.2697
31,430,285,3.696,15.98,-5440.0,-63701.0785,-77765.2697
32,425,286,3.805,11.02,-5464.0,-63676.0785,-77640.2697
33,420,287,3.913,11.02,-5488.0,-63651.0785,-77515.2697
34,415,287,4.013,11.66,-5514.0,-63651.0785,-77390.2697
35,410,287,4.113,6.16,-5531.0,-63651.0785,-77265.2697
36,405,290,4.238,5.37,-5547.0,-63576.0785,-77140.2697
37,400,290,4.338,5.75,-5559.0,-63576.0785,-77015.2697
38,395,291,4.446,4.98,-5570.0,-63551.0785,-76890.2697
39,390,292,4.554,6.08,-5582.0,-63526.0785,-76765.2697
40,385,292,4.654,7.49,-5593.0,-63526.0785,-76640.2697
41,380,293,4.763,5.75,-5602.0,-63501.0785,-76515.2697
42,375,294,4.871,1.83,-5613.0,-63476.0785,-76390.2697
43,370,296,4.988,7.44,-5615.0,-63426.0785,-76265.2697
44,365,301,5.129,6.42,-5624.0,-63301.0785,-76140.2697
45,360,301,5.229,6.16,-5619.0,-63301.0785,-76015.2697
46,355,301,5.329,7.00,-5621.0,-63301.0785,-75890.2697
47,350,302,5.437,5.58,-5618.0,-63276.0785,-75765.2697
48,345,305,5.562,2.95,-5620.0,-63201.0785,-75640.2697
49,340,307,5.679,4.52,-5630.0,-63151.0785,-75515.2697
50,335,306,5.787,4.08,-5642.0,-63176.0785,-75390.2697
51,330,306,5.887,5.58,-5651.0,-63176.0785,-75265.2697
52,325,305,5.995,6.14,-5659.0,-63201.0785,-75140.2697
53,320,303,6.112,5.15,-5665.0,-63251.0785,-75015.2697
54,315,300,6.237,9.95,-5679.0,-63326.0785,-74890.2697
55,310,299,6.345,7.44,-5689.0,-63351.0785,-74765.2697
56,305,299,6.445,2.86,-5696.0,-63351.0785,-74640.2697
57,300,300,6.553,9.38,-5687.0,-63326.0785,-74515.2697
